Data da Compra,Produto,Preco Original/Preco com Desconto,Fornecedor,Qtd. Comprada,Comprador,Nome Gerente,Sobrenome Gerente,Região Destino,
1/1/2020,Lâmpada,595/595,Contoso,1,"Zhou, Suzanne",Deva,Andreuzzi,Brasil - ES,
1/1/2020,Ar Condicionado,"595/368,9",Contoso,1,"Suarez, Deanna",Micah,Kenworthey,Brasil - ES,
1/1/2020,Lâmpada,25/25,Southridge Video,1,"Gutierrez, Deanna",Thornie,Barthropp,Brasil - RJ,
1/1/2020,Aparelho de Som,32/32,Hashtag Toys,4,"Cai, Jaclyn",Valentijn,Wilcott,Brasil - SP,
1/1/2020,Ventilador,"64,9/64,9",Hashtag Toys,2,"Xu, Latoya",Gabriele,Cully,Brasil - SP,
1/1/2020,Rádio,"8,88/6,04",Southridge Video,5,"Pal, Deborah",Hilliary,Trusse,Brasil - SP,
1/1/2020,Ar Condicionado,25/25,Southridge Video,1,"White, Jacob",Sadella,Mcalister,Brasil - SP,
1/1/2020,Lâmpada,25/25,Contoso,1,"Garcia, Chloe",Karin,Rosenzwig,Brasil - SP,
1/1/2020,Rádio,"8,99/8,99",Hashtag Toys,4,"Moore, Blake",Bartel,Rapa,Brasil - SP,
1/1/2020,Rádio,"8,99/8,99",Hashtag Toys,1,"Chen, James",Edouard,Andres,Brasil - RJ,
1/1/2020,Gravador,"8,99/8,99",Hashtag Toys,4,"Henderson, Megan",Avigdor,Wingeat,Brasil - SP,
1/1/2020,Gravador,"8,99/5,84",Hashtag Toys,4,"Henderson, Ashley",Eleonora,Garron,Brasil - SP,
1/1/2020,Aparelho de Som,"72,45/63,03",Hashtag Toys,5,"Jenkins, Ian",Sarajane,Vardie,Brasil - SP,
1/1/2020,Geladeira,409/409,Contoso,1,"James, Angela",Morgana,Correa,Brasil - ES,
1/1/2020,Aparelho de Som,"55,9/55,9",Hashtag Toys,1,"White, Jacob",Althea,Dittson,Brasil - SP,
1/1/2020,Aparelho de Som,89/89,Hashtag Toys,1,"Griffin, Grace",Dallis,Pietzke,Brasil - SP,
1/1/2020,Aparelho de Som,34/34,Hashtag Toys,1,"Torres, Marc",Alyda,Rourke,Brasil - BA,
1/1/2020,Ventilador,"94,8/94,8",Hashtag Toys,1,"She, Latoya",Selig,Fairnie,Brasil - ES,
1/1/2020,Rádio,"8,88/8,88",Southridge Video,1,"Andersen, Carl",Juliana,Silva,Brasil - SP,
1/1/2020,Rádio,"16,89/16,89",Hashtag Toys,1,"Lin, Laura",Madelaine,Brabbs,Brasil - SP,
1/1/2020,Ar Condicionado,"595/529,55",Contoso,2,"Diaz, Cheryl",Shawn,Kainz,Brasil - SP,
1/1/2020,Monitor,"126,9/126,9",Southridge Video,1,"Goel, Mario",Tiebout,Trevarthen,Brasil - SP,
1/1/2020,Monitor,"126,9/116,75",Southridge Video,1,"Navarro, Carolyn",Udell,Ricarde,Brasil - SP,
1/1/2020,Monitor,"126,9/101,52",Southridge Video,1,"Dominguez, Briana",Corri,Sturgess,Brasil - SP,
1/1/2020,Monitor,"126,9/126,9",Southridge Video,2,"Sanchez, Raymond",Sayre,Luno,Brasil - SP,
1/1/2020,Projetor,"126,9/126,9",Southridge Video,5,"Hernandez, Anne",Evangelin,Pitblado,Brasil - SP,
1/1/2020,Monitor,"126,9/81,22",Southridge Video,1,"Zeng, Randy",Margo,Leslie,Brasil - RJ,
1/1/2020,Monitor,"126,9/126,9",Southridge Video,4,"Bryant, Trevor",Forrester,Huffy,Brasil - RJ,
1/1/2020,Monitor,"126,9/119,29",Southridge Video,4,"Perry, Angelica",Sabra,Donoghue,Brasil - MA,
1/1/2020,Monitor,"126,9/85,02",Southridge Video,1,"Hernandez, Meghan",Margareta,Oven,Brasil - RJ,
1/1/2020,Ar Condicionado,"126,9/126,9",Southridge Video,5,"Adams, Gabrielle",Adena,Atkin,Brasil - RJ,
1/1/2020,Projetor,"126,9/123,09",Southridge Video,3,"White, Jacob",Wilbur,Crommett,Brasil - SP,
1/1/2020,Ar Condicionado,"126,9/104,06",Southridge Video,4,"Coleman, Jasmine",Ramsay,Longworthy,Brasil - RJ,
1/1/2020,Projetor,"126,9/123,09",Southridge Video,1,"Patterson, Eduardo",Gunner,Illem,Brasil - RJ,
1/2/2020,Ar Condicionado,"595/523,6",Contoso,1,"Martinez, Barry",Gabrielle,Greenset,Brasil - SP,
1/2/2020,Ar Condicionado,25/25,Contoso,1,"Sanchez, Cole",Olvan,Dwight,Brasil - RJ,
1/2/2020,Microondas,199/199,Southridge Video,1,"Navarro, Roy",Melonie,Ferrai,Brasil - SP,
1/2/2020,Ventilador,"70,13/70,13",Hashtag Toys,1,"Blanco, Felicia",Penelope,Niesegen,Brasil - MA,
1/2/2020,Lâmpada,595/595,Contoso,1,"Alexander, Jocelyn",Kandace,Eakins,Brasil - SP,
1/2/2020,Lâmpada,595/595,Contoso,3,"Rivera, Alexandra",Gayla,Crookshank,Brasil - RJ,
1/2/2020,Lâmpada,25/25,Contoso,1,"Cox, Kaylee",Mair,Yaxley,Brasil - BA,
1/2/2020,Ar Condicionado,25/25,Contoso,4,"Chavez, Marshall",Debra,Falkingham,Brasil - SP,
